experiment	item	condition	context	text	question	qType	PersonSubject	PersonObject	NumberSubject	NumberObject	SingulaAbovePlural	ThirdAboveParticipant	SecondAboveFirst	type	design	
algo1	30	1	"(pointing at herself and Cory, then at your friends Tara and Jasmine)"	We are them.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	3	Plural	Plural	0	0	0	test	Random	
algo1	31	1	"(pointing at you and your friend Zack, then at herself and her friend Mitch)"	You are us.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	1	Plural	Plural	0	0	1	test	Random	
algo1	32	1	(pointing at you and your friend Laura)	You are you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	2	Plural	Plural	0	0	0	test	Random	
algo1	33	1	"(pointing at you and your friend Valery, then at your friends Maddy and Clint)"	You are them.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	3	Plural	Plural	0	0	0	test	Random	
algo1	34	1	"(pointing at your friends Gary and Betty, then at herself and you)"	They are us.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	1	Plural	Plural	0	1	0	test	Random	
algo1	35	1	"(pointing at your friend Jasper, then at you and your friend Mary)"	They are you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	2	Plural	Plural	0	1	0	test	Random	
algo1	36	1	"(pointing at your friend Pete, then at your friends Sally and Erin)"	They are them.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	3	Plural	Plural	0	0	0	test	Random	
algo1	37	1	(pointing at herself)	I is me.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	1	Singular	Singular				control	Random	
algo1	38	1	"(pointing at herself, then at you)"	I  is you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	2	Singular	Singular				control	Random	
algo1	39	1	"(pointing at herself, then at your friend Bill)"	I are him.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	3	Singular	Singular				control	Random	
